Local ID	Other Protein ID	Profile superfamily	Profile ID	E-value	Identity cluster	Order of leaves in full sequence tree	Superclusters based on CARF/SAVED domain tree	Final group assignments	Genome Name	Protein Length	CDD asignments, automatic with E-value 0.0001 (CARF only)	Domain organization	TMHMM result	Current genbank annotation	Potential Ring Nucleases	RN group
MK_CARF_00100216	YP_001178891.1	CARF	CARF.416.FASTA	2.07E-24	2224	3230	CL1_CARF	CARF2	Caldicellulosiruptor saccharolyticus DSM 8903	437	cd09732	CARF_HEPN		CRISPR-associated protein DxTHG motif protein	Non-RN	
MK_CARF_01001129	ABP65700.1	CARF	CARF.416.FASTA	2.07E-24	2224	3231	CL1_CARF	CARF2	Caldicellulosiruptor saccharolyticus DSM 8903	437	cd09732	CARF_HEPN		CRISPR-associated protein DxTHG motif protein	Non-RN	
MK_CARF_01001130	gene_128|GeneMark.hmm|435_aa|-|135045|136352 LACM01000001.1	CARF	CARF.416.FASTA	4.4E-27	158	3232	CL1_CARF	CARF2	Caldicellulosiruptor sp. Wai35.B1 N913	435	cd09732	CARF_HEPN			Non-RN	
MK_CARF_01001131	ADL43501.1	CARF	CARF.416.FASTA	6.31E-28	2094	3233	CL1_CARF	CARF2	Caldicellulosiruptor obsidiansis OB47	436	cd09732	CARF_HEPN		CRISPR-associated protein DxTHG motif	Non-RN	
MK_CARF_00100648	YP_003841487.1	CARF	CARF.416.FASTA	6.31E-28	2094	3234	CL1_CARF	CARF2	Caldicellulosiruptor obsidiansis OB47	436	cd09732	CARF_HEPN		CRISPR-associated protein	Non-RN	
MK_CARF_00012866	WP_013291495.1	CARF	CARF.416.FASTA	6.31E-28	2094	3235	CL1_CARF	CARF2	Caldicellulosiruptor obsidiansis	436	cd09732	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00012873	WP_013431380.1	CARF	CARF.416.FASTA	1.75E-27	4149	3236	CL1_CARF	CARF2	Caldicellulosiruptor kronotskyensis	441	cd09732	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00100686	YP_004025135.1	CARF	CARF.416.FASTA	1.75E-27	4149	3237	CL1_CARF	CARF2	Caldicellulosiruptor kronotskyensis 2002	441	cd09732	CARF_HEPN		CRISPR-associated protein tm1812	Non-RN	
MK_CARF_01001133	ADQ47316.1	CARF	CARF.416.FASTA	1.75E-27	4149	3238	CL1_CARF	CARF2	Caldicellulosiruptor kronotskyensis 2002	441	cd09732	CARF_HEPN		CRISPR-associated protein TM1812	Non-RN	
MK_CARF_00012867	WP_015908984.1	CARF	CARF.416.FASTA	6.6E-28	2349	3239	CL1_CARF	CARF2	Caldicellulosiruptor bescii	441	cd09732	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00100402	YP_002574513.1	CARF	CARF.416.FASTA	6.6E-28	2349	3240	CL1_CARF	CARF2	Caldicellulosiruptor bescii DSM 6725	441	cd09732	CARF_HEPN		hypothetical protein Athe_2682	Non-RN	
MK_CARF_00012899	WP_127350884.1	CARF	CARF.416.FASTA	2.35E-26	4114	3241	CL1_CARF	CARF2	Caldicellulosiruptor changbaiensis	442	cd09732	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01001132	gene_106|GeneMark.hmm|418_aa|-|92729|93985 LACN01000012.1	CARF	CARF.416.FASTA	1.72E-23	2784	3242	CL1_CARF	CARF2	Thermoanaerobacter cellulolyticus NA10 N907	418	cd09732	CARF_HEPN			Non-RN	
MK_CARF_01001134	gene_105|GeneMark.hmm|435_aa|-|118409|119716 LACM01000001.1	CARF	CARF.416.FASTA	1.66E-27	1867	3243	CL1_CARF	CARF2	Caldicellulosiruptor sp. Wai35.B1 N913	435	cd09732	CARF_HEPN			Non-RN	
MK_CARF_00012752	WP_012548577.1	CARF	CARF.416.FASTA	5.68E-32	4422	3244	CL1_CARF	CARF2	Dictyoglomus thermophilum	399	cd09732	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00100347	YP_002250340.1	CARF	CARF.416.FASTA	5.68E-32	4422	3245	CL1_CARF	CARF2	Dictyoglomus thermophilum H-6-12	399	cd09732	CARF_HEPN		CRISPR-associated DxTHG motif protein	Non-RN	
MK_CARF_01001092	ACI19945.1	CARF	CARF.416.FASTA	5.68E-32	4422	3246	CL1_CARF	CARF2	Dictyoglomus thermophilum H-6-12	399	cd09732	CARF_HEPN		CRISPR-associated DxTHG motif protein	Non-RN	
MK_CARF_00100361	YP_002352508.1	CARF	CARF.416.FASTA	5.29E-33	3815	3247	CL1_CARF	CARF2	Dictyoglomus turgidum DSM 6724	396	cd09732	CARF_HEPN		CRISPR-associated protein	Non-RN	
MK_CARF_00012710	YP_002352508.1	CARF	CARF.416.FASTA	5.29E-33	3815	3248	CL1_CARF	CARF2	Dictyoglomus turgidum DSM 6724	396	cd09732	CARF_HEPN		CRISPR-associated protein	Non-RN	
MK_CARF_01001093	ACK41894.1	CARF	CARF.416.FASTA	5.29E-33	3815	3249	CL1_CARF	CARF2	Dictyoglomus turgidum DSM 6724	396	cd09732	CARF_HEPN		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_00012701	WP_013299018.1	CARF	CARF.416.FASTA	4.02E-33	2080	3250	CL1_CARF	CARF2	Thermoanaerobacterium thermosaccharolyticum	400	cd09732	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01001094	ADL70062.1	CARF	CARF.416.FASTA	4.02E-33	2080	3251	CL1_CARF	CARF2	Thermoanaerobacterium thermosaccharolyticum DSM 571	400	cd09732	CARF_HEPN		CRISPR-associated protein	Non-RN	
MK_CARF_00100656	YP_003853146.1	CARF	CARF.416.FASTA	4.02E-33	2080	3252	CL1_CARF	CARF2	Thermoanaerobacterium thermosaccharolyticum DSM 571	400	cd09732	CARF_HEPN		CRISPR-associated protein	Non-RN	
MK_CARF_01001095	gene_893|GeneMark.hmm|409_aa|+|864604|865833 KE386495.1	CARF	CARF.416.FASTA	6.7E-29	87	3253	CL1_CARF	CARF2	Caldanaerobius polysaccharolyticus DSM 13641	409	cd09732	CARF_HEPN			Non-RN	
MK_CARF_01001096	gene_380|GeneMark.hmm|423_aa|-|385690|386961 JAGB01000003.1	CARF	CARF.416.FASTA	7.56E-27	3365	3254	CL1_CARF	CARF2	Caldicoprobacter oshimai DSM 21659 K363	423	cd09732	CARF_HEPN			Non-RN	
MK_CARF_01001097	gene_4|GeneMark.hmm|408_aa|+|2703|3929 AZSU01000003.1	CARF	CARF.416.FASTA	4.76E-29	2869	3255	CL1_CARF	CARF2	Clostridium ultunense DSM 10521	408	cd09732	CARF_HEPN			Non-RN	
MK_CARF_00000165	AEB12642.1	CARF	CARF.416.FASTA	1.08E-22	129	3256	CL1_CARF	CARF2	Marinithermus hydrothermalis DSM 14884	405	cd09732	CARF_HEPN		CRISPR-associated protein DxTHG motif protein	Non-RN	
MK_CARF_00012993	WP_013704688.1	CARF	CARF.416.FASTA	1.08E-22	129	3257	CL1_CARF	CARF2	Marinithermus hydrothermalis	405	cd09732	CARF_HEPN		CRISPR-associated protein DxTHG motif protein	Non-RN	
MK_CARF_00000169	YP_004368752.1	CARF	CARF.416.FASTA	1.08E-22	129	3258	CL1_CARF	CARF2	Marinithermus hydrothermalis DSM 14884	405	cd09732	CARF_HEPN		CRISPR-associated protein DxTHG motif protein	Non-RN	
MK_CARF_00100755	YP_004368752.1	CARF	CARF.416.FASTA	1.08E-22	129	3259	CL1_CARF	CARF2	Marinithermus hydrothermalis DSM 14884	405	cd09732	CARF_HEPN		CRISPR-associated protein DxTHG motif protein	Non-RN	
MK_CARF_01000984	AEB12642.1	CARF	CARF.416.FASTA	1.08E-22	129	3260	CL1_CARF	CARF2	Marinithermus hydrothermalis DSM 14884	405	cd09732	CARF_HEPN		CRISPR-associated protein DxTHG motif protein	Non-RN	
MK_CARF_01000985	gene_488|GeneMark.hmm|389_aa|+|464844|466013 JNIE01000002.1	CARF	CARF.416.FASTA	1.93E-24	3002	3261	CL1_CARF	CARF2	Thermocrinis sp. GBS K217	389	cd09668	CARF_HEPN			Non-RN	
MK_CARF_01001136	CUU08147.1	CARF	CARF.416.FASTA	6.73E-30	2866	3262	CL1_CARF	CARF2	Armatimonadetes bacterium GBS	439	cd09732	CARF_HEPN		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_00012768	WP_095415766.1	CARF	CARF.416.FASTA	1.33E-31	4351	3263	CL1_CARF	CARF2	Thermogutta terrifontis	413	cd09732	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01001118	gene_84|GeneMark.hmm|446_aa|-|83501|84841 AGIV01000002.1	CARF	CARF.416.FASTA	4.64E-39	238	3264	CL1_CARF	CARF2	Rhodothermus marinus SG0.5JP17-171 Rhoma_Contig848_C	446	pfam09455	CARF_HEPN			Non-RN	
MK_CARF_00012401	WP_012845314.1	CARF	CARF.416.FASTA	4.64E-39	238	3265	CL1_CARF	CARF2	Rhodothermus marinus	446	pfam09455	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00100522	YP_003292092.1	CARF	CARF.416.FASTA	4.64E-39	238	3266	CL1_CARF	CARF2	Rhodothermus marinus DSM 4252	446	pfam09455	CARF_HEPN		CRISPR-associated protein DxTHG motif protein (plasmid)	Non-RN	
MK_CARF_01001119	gene_757|GeneMark.hmm|434_aa|+|933795|935099 ATTH01000001.1	CARF	CARF.416.FASTA	4.56E-33	3167	3267	CL1_CARF	CARF2	Salisaeta longa DSM 21114 Sallo	434	pfam09455	CARF_HEPN			Non-RN	
MK_CARF_00012905	WP_081468671.1	CARF	CARF.416.FASTA	3.53E-26	3272	3268	CL1_CARF	CARF2	Treponema primitia	453	pfam09455	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01001098	AEF84098.1	CARF	CARF.416.FASTA	3.28E-26	2060	3269	CL1_CARF	CARF2	Treponema primitia ZAS-2	443	pfam09455	CARF_HEPN		putative crispr-associated protein, family	Non-RN	
MK_CARF_00100804	YP_004531848.1	CARF	CARF.416.FASTA	3.28E-26	2060	3270	CL1_CARF	CARF2	Treponema primitia ZAS-2	443	pfam09455	CARF_HEPN		putative CRISPR-associated protein	Non-RN	
MK_CARF_01000921	EPF29276.1	CARF	CARF.416.FASTA	7.41E-28	3878	3271	CL1_CARF	CARF2	Treponema medium ATCC 700293	419	pfam09455	CARF_HEPN		tm1812 family CRISPR-associated protein	Non-RN	
MK_CARF_00100973	ZP_09889627.1	CARF	CARF.416.FASTA	5.13E-24	1702	3272	CL1_CARF	CARF2	Treponema saccharophilum DSM 2985	429	pfam09455	CARF_HEPN		CRISPR-associated DxTHG motif protein	Non-RN	
MK_CARF_01001135	EIC01148.1	CARF	CARF.416.FASTA	5.13E-24	1702	3273	CL1_CARF	CARF2	Treponema saccharophilum DSM 2985	429	pfam09455	CARF_HEPN		CRISPR-associated DxTHG motif protein	Non-RN	
MK_CARF_01001099	ERP30769.1	CARF	CARF.416.FASTA	1.69E-13	2385	3274	CL1_CARF	CARF2	Chitinivibrio alkaliphilus ACht1	416	cd09732	CARF_HEPN		CRISPR/Cas system-associated protein Csx1	Non-RN	
MK_CARF_00100020	NP_248684.1	CARF	CARF.416.FASTA	5.78E-45	3957	3275	CL1_CARF	CARF2	Methanocaldococcus jannaschii DSM 2661	634	cd09671	CARF_HEPN_Unk_f1		hypothetical protein MJ_1674	Non-RN	
MK_CARF_01000922	AAB99696.1	CARF	CARF.416.FASTA	5.78E-45	3957	3276	CL1_CARF	CARF2	Methanocaldococcus jannaschii DSM 2661	634	cd09671	CARF_HEPN_Unk_f1		hypothetical protein MJ_1674	Non-RN	
MK_CARF_00012051	WP_010871198.1	CARF	CARF.416.FASTA	5.78E-45	3957	3277	CL1_CARF	CARF2	Methanocaldococcus jannaschii	634	cd09671	CARF_HEPN_Unk_f1		CRISPR-associated protein	Non-RN	
MK_CARF_00012015	WP_012980179.1	CARF	CARF.416.FASTA	1.54E-45	4705	3278	CL1_CARF	CARF2	Methanocaldococcus sp. FS406-22	632	cd09671	CARF_HEPN_Unk_f1		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00100573	YP_003458005.1	CARF	CARF.416.FASTA	1.54E-45	4705	3279	CL1_CARF	CARF2	Methanocaldococcus sp. FS406-22	632	cd09671	CARF_HEPN_Unk_f1		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_01000923	ADC69269.1	CARF	CARF.416.FASTA	1.54E-45	4705	3280	CL1_CARF	CARF2	Methanocaldococcus sp. FS406-22	632	cd09671	CARF_HEPN_Unk_f1		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_01000924	ACX73003.1	CARF	CARF.416.FASTA	2.12E-42	4630	3281	CL1_CARF	CARF2	Methanocaldococcus vulcanius M7	642	cd09671	CARF_HEPN_Unk_f1		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_00100508	YP_003247485.1	CARF	CARF.416.FASTA	2.12E-42	4630	3282	CL1_CARF	CARF2	Methanocaldococcus vulcanius M7	642	cd09671	CARF_HEPN_Unk_f1		CRISPR-associated protein	Non-RN	
MK_CARF_00000138	ACX73003.1	CARF	CARF.416.FASTA	2.12E-42	4630	3283	CL1_CARF	CARF2	Methanocaldococcus vulcanius M7	642	cd09671	CARF_HEPN_Unk_f1		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_00012175	WP_015733223.1	CARF	CARF.416.FASTA	2.12E-42	4630	3284	CL1_CARF	CARF2	Methanocaldococcus vulcanius	642	cd09671	CARF_HEPN_Unk_f1		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00000142	YP_003247485.1	CARF	CARF.416.FASTA	2.12E-42	4630	3285	CL1_CARF	CARF2	Methanocaldococcus vulcanius M7	642	cd09671	CARF_HEPN_Unk_f1		CRISPR-associated protein	Non-RN	
MK_CARF_01000925	AIJ06333.1	CARF	CARF.416.FASTA	2.13E-45	152	3286	CL1_CARF	CARF2	Methanocaldococcus sp. JH146	632	cd09671	CARF_HEPN_Unk_f1		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_00012026	WP_048202415.1	CARF	CARF.416.FASTA	2.13E-45	152	3287	CL1_CARF	CARF2	Methanocaldococcus bathoardescens	632	cd09671	CARF_HEPN_Unk_f1		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00012299	WP_015791519.1	CARF	CARF.416.FASTA	1.52E-40	4110	3288	CL1_CARF	CARF2	Methanocaldococcus fervens	247	cd09671	CARF		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01000926	ACV24782.1	CARF	CARF.416.FASTA	1.52E-40	4110	3289	CL1_CARF	CARF2	Methanocaldococcus fervens AG86	247	cd09671	CARF		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_00012301	WP_015359346.1	CARF	CARF.416.FASTA	1.77E-40	38	3290	CL1_CARF	CARF2	Clostridium stercorarium	451	cd09671	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00101307	YP_007373272.1	CARF	CARF.416.FASTA	1.77E-40	38	3291	CL1_CARF	CARF2	Clostridium stercorarium subsp. stercorarium DSM 8532	451	cd09671	CARF_HEPN		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_01000930	AGC68662.1	CARF	CARF.416.FASTA	1.77E-40	38	3292	CL1_CARF	CARF2	Thermoclostridium stercorarium subsp. stercorarium DSM 8532	451	cd09671	CARF_HEPN		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_01000929	gene_1|GeneMark.hmm|455_aa|+|3|1370 AQVL01000107.1	CARF	CARF.416.FASTA	2.42E-42	2536	3293	CL1_CARF	CARF2	Euryarchaeote SCGC AAA261-G15 A3KG	455	cd09671	CARF_HEPN			Non-RN	
MK_CARF_01000927	gene_3|GeneMark.hmm|487_aa|+|1311|2774 LFSJ01000156.1	CARF	CARF.416.FASTA	7.43E-43	2726	3294	CL1_CARF	CARF2	Tepidanaerobacter sp. DTU063	487	cd09671	CARF_HEPN			Non-RN	
MK_CARF_01000928	KXG76742.1	CARF	CARF.416.FASTA	1.54E-42	3845	3295	CL1_CARF	CARF2	Fervidicola ferrireducens	448	cd09671	CARF_HEPN		hypothetical protein AN618_14270	Non-RN	
MK_CARF_00012231	WP_108898629.1	CARF	CARF.416.FASTA	1.03E-41	1259	3296	CL1_CARF	CARF2	Bacillus thermoamylovorans	462	cd09671	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00012170	WP_008051068.1	CARF	CARF.416.FASTA	1.7E-42	925	3297	CL1_CARF	CARF2	Arthrospira	415	cd09671	CARF_HEPN		MULTISPECIES: TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00100950	ZP_09781014.1	CARF	CARF.416.FASTA	1.7E-42	925	3298	CL1_CARF	CARF2	Arthrospira sp. PCC 8005	415	cd09671	CARF_HEPN		CRISPR-associated protein	Non-RN	
MK_CARF_01000932	CDM96288.1	CARF	CARF.416.FASTA	1.7E-42	925	3299	CL1_CARF	CARF2	Arthrospira sp. PCC 8005	415	cd09671	CARF_HEPN		CRISPR-associated protein	Non-RN	
MK_CARF_01000945	gene_11|GeneMark.hmm|468_aa|+|13075|14481 BAWS01000034.1	CARF	CARF.416.FASTA	1.04E-43	2489	3300	CL1_CARF	CARF2	Synechococcus sp. NKBG042902	468	cd09732	CARF_HEPN			Non-RN	
MK_CARF_01000944	gene_3947|GeneMark.hmm|415_aa|+|4700005|4701252 JH980292.1	CARF	CARF.416.FASTA	2.73E-45	676	3301	CL1_CARF	CARF2	Spirulina subsalsa PCC 9445	415	cd09671	CARF_HEPN			Non-RN	
MK_CARF_01000931	gene_2|GeneMark.hmm|420_aa|+|945|2207 AXAQ01000741.1	CARF	CARF.416.FASTA	3.01E-45	485	3302	CL1_CARF	CARF2	Mastigocoleus testarum BC008 YY1	420	cd09671	CARF_HEPN			Non-RN	
MK_CARF_00100961	YP_005320773.1	CARF	CARF.416.FASTA	1.64E-33	725	3303	CL1_CARF	CARF2	Saprospira grandis str. Lewin	407	cd09732	CARF_HEPN		CRISPR-associated protein	Non-RN	
MK_CARF_00012685	WP_014373435.1	CARF	CARF.416.FASTA	1.64E-33	725	3304	CL1_CARF	CARF2	Saprospira grandis	407	cd09732	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01000936	AFC23189.1	CARF	CARF.416.FASTA	1.64E-33	725	3305	CL1_CARF	CARF2	Saprospira grandis str. Lewin	407	cd09732	CARF_HEPN		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_01000935	BAR49625.1	CARF	CARF.416.FASTA	1.19E-42	3688	3306	CL1_CARF	CARF2	Tannerella forsythia 3313	414	cd09732	CARF_HEPN		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_00012158	WP_060828108.1	CARF	CARF.416.FASTA	1.19E-42	3688	3307	CL1_CARF	CARF2	Tannerella forsythia	414	cd09732	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01000946	gene_420|GeneMark.hmm|408_aa|-|504466|505692 KE387153.1	CARF	CARF.416.FASTA	1.23E-49	949	3308	CL1_CARF	CARF2	Flexibacter elegans DSM 3317	408	cd09671	CARF_HEPN			Non-RN	
MK_CARF_00012085	WP_013672149.1	CARF	CARF.416.FASTA	5.88E-44	3104	3309	CL1_CARF	CARF2	Prevotella denticola	416	cd09671	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00100746	YP_004330038.1	CARF	CARF.416.FASTA	5.88E-44	3104	3310	CL1_CARF	CARF2	Prevotella denticola F0289	416	cd09671	CARF_HEPN		CRISPR-associated protein	Non-RN	
MK_CARF_01000933	EGC19837.1	CARF	CARF.416.FASTA	1.62E-43	3089	3311	CL1_CARF	CARF2	Prevotella multiformis DSM 16608	416	cd09671	CARF_HEPN		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_00100737	ZP_08136501.1	CARF	CARF.416.FASTA	1.62E-43	3089	3312	CL1_CARF	CARF2	Prevotella multiformis DSM 16608	416	cd09671	CARF_HEPN		hypothetical protein HMPREF9141_1711	Non-RN	
MK_CARF_01000934	gene_12|GeneMark.hmm|416_aa|+|8734|9984 BAJZ01000053.1	CARF	CARF.416.FASTA	1.24E-42	3943	3313	CL1_CARF	CARF2	Prevotella maculosa DSM 19339	416	cd09671	CARF_HEPN			Non-RN	
MK_CARF_00100479	YP_003163987.1	CARF	CARF.416.FASTA	1.08E-34	4664	3314	CL1_CARF	CARF2	Leptotrichia buccalis C-1013-b	692	cd09671	CARF_HEPN_CSX20		CRISPR-associated protein DxTHG motif protein	Non-RN	
MK_CARF_00012636	WP_015769341.1	CARF	CARF.416.FASTA	1.08E-34	4664	3315	CL1_CARF	CARF2	Leptotrichia buccalis	692	cd09671	CARF_HEPN_CSX20		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01000948	ACV38996.1	CARF	CARF.416.FASTA	1.08E-34	4664	3316	CL1_CARF	CARF2	Leptotrichia buccalis C-1013-b	692	cd09671	CARF_HEPN_CSX20		CRISPR-associated protein DxTHG motif protein	Non-RN	
MK_CARF_00012707	WP_094080043.1	CARF	CARF.416.FASTA	4.74E-33	1369	3317	CL1_CARF	CARF2	Leptotrichia sp. oral taxon 498	704	cd09671	CARF_HEPN_CSX20		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01000941	gene_448|GeneMark.hmm|458_aa|-|480664|482040 KB890259.1	CARF	CARF.416.FASTA	2.25E-34	1568	3318	CL1_CARF	CARF2	Leptotrichia shahii DSM 19757	458	cd09671	CARF_HEPN			Non-RN	
MK_CARF_01000942	gene_57|GeneMark.hmm|455_aa|-|67205|68572 KI519444.1	CARF	CARF.416.FASTA	1.52E-36	759	3319	CL1_CARF	CARF2	Leptotrichia trevisanii DSM 22070	455	cd09671	CARF_HEPN			Non-RN	
MK_CARF_00012587	WP_080699558.1	CARF	CARF.416.FASTA	7.65E-36	2389	3320	CL1_CARF	CARF2	Fusobacterium necrophorum	452	cd09671	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01000950	KDE61516.1	CARF	CARF.416.FASTA	7.55E-36	3246	3321	CL1_CARF	CARF2	Fusobacterium necrophorum BL	451	cd09671	CARF_HEPN		hypothetical protein FUSO3_09935	Non-RN	
MK_CARF_01000949	gene_141|GeneMark.hmm|458_aa|+|161267|162643 KK211416.1	CARF	CARF.416.FASTA	2.23E-35	522	3322	CL1_CARF	CARF2	Fusobacterium perfoetens ATCC 29250	458	pfam09455	CARF_HEPN			Non-RN	
MK_CARF_01000939	ETZ30597.1	CARF	CARF.416.FASTA	1.34E-38	2618	3323	CL1_CARF	CARF2	Fusobacterium nucleatum 13_3C	450	cd09671	CARF_HEPN		tm1812 family CRISPR-associated protein	Non-RN	
MK_CARF_00012439	WP_032887695.1	CARF	CARF.416.FASTA	1.34E-38	2618	3324	CL1_CARF	CARF2	Fusobacterium nucleatum	450	cd09671	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00012518	WP_100026791.1	CARF	CARF.416.FASTA	1.9E-37	4371	3325	CL1_CARF	CARF2	Fusobacterium periodonticum	449	cd09671	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00012628	WP_099997213.1	CARF	CARF.416.FASTA	7.48E-35	254	3326	CL1_CARF	CARF2	Fusobacterium periodonticum	449	cd09671	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01000940	EUB28220.1	CARF	CARF.416.FASTA	1.64E-40	442	3327	CL1_CARF	CARF2	Fusobacterium sp. CM22	446	cd09671	CARF_HEPN		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_01000947	ETZ30600.1	CARF	CARF.416.FASTA	2.86E-37	1339	3328	CL1_CARF	CARF2	Fusobacterium nucleatum 13_3C	579	cd09671	CARF_HEPN_CSX20		tm1812 family CRISPR-associated protein	Non-RN	
MK_CARF_00012526	WP_032887697.1	CARF	CARF.416.FASTA	2.86E-37	1339	3329	CL1_CARF	CARF2	Fusobacterium nucleatum	579	cd09671	CARF_HEPN_CSX20		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00012629	WP_100026792.1	CARF	CARF.416.FASTA	7.47E-35	3777	3330	CL1_CARF	CARF2	Fusobacterium periodonticum	594	cd09671	CARF_HEPN_CSX20		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00012634	WP_099997211.1	CARF	CARF.416.FASTA	9.78E-35	997	3331	CL1_CARF	CARF2	Fusobacterium periodonticum	585	cd09671	CARF_HEPN_CSX20		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01000937	EUB28232.1	CARF	CARF.416.FASTA	1.79E-33	627	3332	CL1_CARF	CARF2	Fusobacterium sp. CM22	591	cd09671	CARF_HEPN_CSX20		CRISPR-associated protein, TM1812 family	Non-RN	
MK_CARF_00012440	WP_032887703.1	CARF	CARF.416.FASTA	1.39E-38	1210	3333	CL1_CARF	CARF2	Fusobacterium nucleatum	566	cd09671	CARF_HEPN_CSX20		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01000938	ETZ29904.1	CARF	CARF.416.FASTA	1.39E-38	1210	3334	CL1_CARF	CARF2	Fusobacterium nucleatum 13_3C	566	cd09671	CARF_HEPN_CSX20		tm1812 family CRISPR-associated protein	Non-RN	
MK_CARF_00012315	WP_100026797.1	CARF	CARF.416.FASTA	2.8E-40	1296	3335	CL1_CARF	CARF2	Fusobacterium periodonticum	567	cd09671	CARF_HEPN_CSX20		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_00101108	ZP_11019496.1	CARF	CARF.416.FASTA	2.54E-27	2684	3336	CL1_CARF	CARF2	Clostridiales bacterium OBRC5-5	447	cd09732	CARF_HEPN		tm1812 family CRISPR-associated protein	Non-RN	
MK_CARF_01000953	EJZ68971.1	CARF	CARF.416.FASTA	2.54E-27	2684	3337	CL1_CARF	CARF2	Clostridiales bacterium OBRC5-5	447	cd09732	CARF_HEPN		tm1812 family CRISPR-associated protein	Non-RN	
MK_CARF_00012447	WP_115588580.1	CARF	CARF.416.FASTA	2.16E-38	4267	3338	CL1_CARF	CARF2	Arcobacter skirrowii	416	cd09732	CARF_HEPN		TIGR02221 family CRISPR-associated protein	Non-RN	
MK_CARF_01001100	gene_4|GeneMark.hmm|416_aa|-|1747|2997 LRUW01000038.1	CARF	CARF.416.FASTA	3.03E-38	3833	3339	CL1_CARF	CARF2	Arcobacter skirrowii strain L402 592	416	cd09732	CARF_HEPN			Non-RN	
MK_CARF_01000951	gene_673|GeneMark.hmm|399_aa|-|616858|618057 JNLL01000001.1	CARF	CARF.416.FASTA	2.63E-35	3799	3340	CL1_CARF	CARF2	Persephonella sp. KM09-Lau-8 strain KM09_Lau8 BO11	399	cd09671	CARF_HEPN			Non-RN	
MK_CARF_00012671	BBG66766.1	CARF	CARF.416.FASTA	7.58E-34	2492	3341	CL1_CARF	CARF2	Hydrogenimonas sp.	400	cd09732	CARF_HEPN		CRISPR-associated protein TM1812	Non-RN	
MK_CARF_01000952	KIM06208.1	CARF	CARF.416.FASTA	4.33E-47	2887	3342	CL1_CARF	CARF2	Sulfurovum sp. FS08-3	395	cd09732	CARF_HEPN		hypothetical protein KU38_13405	Non-RN	
